Km Atual,Km Troca,Fe,Cr,Pb,Cu,Sn,Al,Ni,Ag,Si,B,Na,Mg,Ca,Ba,P,Zn,Mo,Ti,V,K,Oxi,Nit,Sul,Ful,Agu,Gli,Dil,DiagComb,DiagCont,DiagCorr
88898.0,14185.0,87.0,15.0,7.0,8.0,8.0,2.0,0.0,0.0,7.0,0.0,196.0,586.0,1305.0,0.0,952.0,1182.0,0.0,0.0,0.0,4.0,0.03,0.06,0.21,1.13,0.1,0.08,2.0,0,0,0
100314.0,14805.0,99.0,21.0,10.0,8.0,10.0,2.0,0.0,0.0,7.0,0.0,193.0,558.0,1284.0,0.0,949.0,1177.0,0.0,0.0,0.0,5.0,0.05,0.09,0.25,1.5,0.1,0.08,2.0,1,0,0
436880.0,3637.0,146.0,5.0,13.0,5.0,6.0,15.0,1.0,0.0,15.0,0.0,242.0,676.0,1167.0,0.0,1038.0,1317.0,9.0,0.0,0.0,7.0,0.03,0.03,0.07,0.45,0.1,0.08,2.0,0,0,0
440134.0,7124.0,181.0,6.0,18.0,4.0,7.0,14.0,1.0,0.0,17.0,0.0,269.0,846.0,1386.0,0.0,1233.0,1456.0,11.0,0.0,0.0,7.0,0.03,0.04,0.09,0.48,0.1,0.08,2.0,0,0,0
446273.0,5962.0,243.0,10.0,34.0,11.0,9.0,24.0,1.0,0.0,24.0,0.0,261.0,784.0,1235.0,0.0,1146.0,1430.0,19.0,0.0,0.0,5.0,0.09,0.1,0.22,1.17,0.1,0.08,2.0,0,0,1
92762.0,1646.0,112.0,10.0,21.0,31.0,9.0,10.0,1.0,0.0,15.0,3.0,237.0,689.0,1058.0,0.0,1076.0,1270.0,8.0,0.0,0.0,3.0,0.02,0.02,0.08,0.55,0.1,0.08,2.0,0,0,0
36427.0,11005.0,50.0,19.0,7.0,5.0,8.0,3.0,0.0,0.0,6.0,0.0,146.0,461.0,2147.0,0.0,917.0,1158.0,0.0,0.0,0.0,3.0,0.07,0.07,0.11,0.15,0.1,0.08,2.0,0,0,0
49785.0,13357.0,78.0,8.0,7.0,5.0,5.0,3.0,0.0,0.0,6.0,0.0,15.0,55.0,2946.0,0.0,670.0,882.0,0.0,0.0,0.0,0.0,0.07,0.1,0.11,0.15,0.1,0.08,2.0,0,0,0
110865.0,18436.0,147.0,12.0,24.0,13.0,7.0,2.0,0.0,0.0,7.0,0.0,55.0,166.0,2101.0,0.0,645.0,821.0,0.0,0.0,0.0,1.0,0.07,0.12,0.26,1.52,0.1,0.08,2.0,0,0,0
359472.0,5225.0,19.0,0.0,7.0,3.0,4.0,4.0,0.0,0.0,7.0,0.0,214.0,602.0,1060.0,0.0,985.0,1240.0,1.0,0.0,0.0,7.0,0.01,0.01,0.01,0.16,0.1,0.08,2.0,0,0,0
359472.0,10579.0,11.0,0.0,4.0,2.0,3.0,3.0,0.0,0.0,6.0,0.0,213.0,691.0,1176.0,0.0,1134.0,1311.0,1.0,0.0,0.0,7.0,0.01,0.01,0.01,0.01,0.1,0.08,2.0,0,0,0
92182.0,15877.0,138.0,3.0,9.0,5.0,4.0,8.0,0.0,0.0,10.0,2.0,251.0,717.0,1119.0,0.0,1120.0,1341.0,8.0,0.0,0.0,3.0,0.03,0.03,0.09,0.49,0.1,0.08,2.0,0,0,0
375391.0,13060.0,175.0,5.0,21.0,12.0,5.0,12.0,0.0,0.0,14.0,3.0,253.0,667.0,1131.0,0.0,1007.0,1273.0,13.0,0.0,0.0,0.0,0.11,0.08,0.17,0.76,0.1,0.08,2.0,0,0,0
28562.0,27578.0,64.0,4.0,6.0,10.0,4.0,4.0,0.0,0.0,8.0,2.0,33.0,127.0,2504.0,0.0,604.0,772.0,0.0,0.0,0.0,6.0,0.05,0.06,0.11,0.12,0.1,0.08,2.0,0,0,0
