,depth (m),bitdepth (m),hook_load (klb),wob (klb),rpm,torque,rop ,flowin (gal/stk),spp (psi),ChockePressure (psi),flowout (%),SPM1 (spm),SPM2 (spm),pitlevel1 (bbl),pitlevel2 (bbl),pitlevel3 (bbl),pitlevel4 (bbl),pitlevel5 (bbl),pitlevel6 (bbl),pitlevel7 (bbl),totalpitlevel (bbl),RPMAnalog,BlockPosition,RPMTotal,H2S (ppm),Kick,Well_Number
0,24.22,24.0,31.0,6.0,,0.0,1.96,302.63,409.0,0.0,37.0,72.0,0.0,62.0,85.0,85.0,76.0,82.0,102.0,2.0,492.0,0.0,7.0,93.0,0.0,0.0,0
1,25,24.0,31.0,7.0,,0.0,1.59,302.63,435.0,0.0,37.0,72.0,0.0,63.0,85.0,85.0,76.0,81.0,102.0,2.0,492.0,1.0,6.0,93.0,0.0,0.0,0
2,25.39,25.0,33.0,4.0,,0.0,1.57,303.65,381.0,0.0,37.0,72.0,0.0,63.0,85.0,85.0,75.0,81.0,102.0,2.0,491.0,0.0,5.0,94.0,0.0,0.0,0
3,25.55,25.0,34.0,3.0,,0.0,1.57,303.65,345.0,0.0,37.0,72.0,0.0,64.0,85.0,85.0,75.0,81.0,102.0,2.0,492.0,0.0,5.0,94.0,0.0,0.0,0
4,25.85,25.0,34.0,3.0,,0.0,2.37,303.14,365.0,0.0,37.0,72.0,0.0,64.0,85.0,85.0,75.0,81.0,102.0,2.0,492.0,0.0,5.0,93.0,0.0,0.0,0
5,26.31,26.0,33.0,4.0,,0.0,2.77,303.14,377.0,0.0,37.0,72.0,0.0,65.0,85.0,85.0,75.0,81.0,102.0,2.0,493.0,0.0,5.0,93.0,0.0,0.0,0
6,26.88,26.0,33.0,4.0,,0.0,2.59,303.14,388.0,0.0,37.0,72.0,0.0,65.0,85.0,85.0,75.0,80.0,102.0,2.0,492.0,1.0,4.0,93.0,0.0,0.0,0
7,27.4,27.0,35.0,2.0,,0.0,2.23,303.14,356.0,0.0,37.0,72.0,0.0,65.0,85.0,85.0,75.0,80.0,102.0,2.0,492.0,0.0,4.0,93.0,0.0,0.0,0
8,27.92,27.0,32.0,6.0,,0.0,2.12,301.63,412.0,0.0,37.0,72.0,0.0,65.0,85.0,85.0,75.0,80.0,102.0,2.0,492.0,1.0,3.0,93.0,0.0,0.0,0
9,28.52,28.0,31.0,5.0,,0.0,1.89,302.13,413.0,0.0,37.0,72.0,0.0,65.0,85.0,85.0,75.0,80.0,102.0,2.0,492.0,2.0,2.0,93.0,0.0,0.0,0
10,29.12,29.0,32.0,4.0,,0.0,1.78,303.14,397.0,0.0,37.0,72.0,0.0,65.0,85.0,85.0,75.0,80.0,102.0,2.0,492.0,1.0,2.0,93.0,0.0,0.0,0
11,29.37,29.0,34.0,3.0,,0.0,1.73,302.63,354.0,0.0,37.0,72.0,0.0,65.0,85.0,85.0,75.0,80.0,102.0,2.0,492.0,0.0,1.0,93.0,0.0,0.0,0
12,29.87,29.0,33.0,6.0,,0.0,2.14,302.13,381.0,0.0,36.0,72.0,0.0,65.0,85.0,85.0,75.0,80.0,102.0,2.0,492.0,0.0,1.0,93.0,0.0,0.0,0
13,30.37,30.0,34.0,2.0,,0.0,2.34,304.16,363.0,0.0,37.0,72.0,0.0,65.0,85.0,85.0,75.0,80.0,102.0,2.0,492.0,0.0,1.0,94.0,0.0,0.0,0
14,30.87,30.0,34.0,3.0,,0.0,2.2,303.14,372.0,0.0,37.0,72.0,0.0,65.0,86.0,85.0,75.0,80.0,102.0,2.0,493.0,0.0,0.0,93.0,0.0,0.0,0
15,30.91,30.0,35.0,0.0,,0.0,1.28,280.4,319.0,0.0,37.0,67.0,0.0,65.0,86.0,85.0,75.0,80.0,102.0,2.0,493.0,0.0,0.0,86.0,0.0,0.0,0
