line,timestmp,depth (m),bitdepth (m),hook_load (klb),wob (klb),rpm,torque,rop ,flowin (gal/stk),spp (psi),ChockePressure (psi),flowout (%),SPM1 (spm),SPM2 (spm),pitlevel1 (bbl),pitlevel2 (bbl),pitlevel3 (bbl),pitlevel4 (bbl),pitlevel5 (bbl),pitlevel6 (bbl),pitlevel7 (bbl),totalpitlevel (bbl),RPMAnalog,BlockPosition,RPMTotal,H2S (ppm),Kick
1,00:00,"24,22",24,31,6,,0.0,"1,96","302,63",409,0.0,37,72,0,62,85,85,76,82.0,102,2,492,0,7,93,0,0
2,00:01,25,24,31,7,,0.0,"1,59","302,63",435,0.0,37,72,0,63,85,85,76,81.0,102,2,492,1,6,93,0,0
3,00:02,"25,39",25,33,4,,0.0,"1,57","303,65",381,0.0,37,72,0,63,85,85,75,81.0,102,2,491,0,5,94,0,0
4,00:03,"25,55",25,34,3,,0.0,"1,57","303,65",345,0.0,37,72,0,64,85,85,75,81.0,102,2,492,0,5,94,0,0
5,00:04,"25,85",25,34,3,,0.0,"2,37","303,14",365,0.0,37,72,0,64,85,85,75,81.0,102,2,492,0,5,93,0,0
6,00:05,"26,31",26,33,4,,0.0,"2,77","303,14",377,0.0,37,72,0,65,85,85,75,81.0,102,2,493,0,5,93,0,0
7,00:06,"26,88",26,33,4,,0.0,"2,59","303,14",388,0.0,37,72,0,65,85,85,75,80.0,102,2,492,1,4,93,0,0
8,00:07,"27,4",27,35,2,,0.0,"2,23","303,14",356,0.0,37,72,0,65,85,85,75,80.0,102,2,492,0,4,93,0,0
9,00:08,"27,92",27,32,6,,0.0,"2,12","301,63",412,0.0,37,72,0,65,85,85,75,80.0,102,2,492,1,3,93,0,0
10,00:09,"28,52",28,31,5,,0.0,"1,89","302,13",413,0.0,37,72,0,65,85,85,75,80.0,102,2,492,2,2,93,0,0
11,00:10,"29,12",29,32,4,,0.0,"1,78","303,14",397,0.0,37,72,0,65,85,85,75,80.0,102,2,492,1,2,93,0,0
12,00:11,"29,37",29,34,3,,0.0,"1,73","302,63",354,0.0,37,72,0,65,85,85,75,80.0,102,2,492,0,1,93,0,0
13,00:12,"29,87",29,33,6,,0.0,"2,14","302,13",381,0.0,36,72,0,65,85,85,75,80.0,102,2,492,0,1,93,0,0
