line;timestmp;depth (m);bitdepth (m);hook_load (klb);wob (klb);rpm;torque;rop ;flowin (gal/stk);spp (psi);ChockePressure (psi);flowout (%);SPM1 (spm);SPM2 (spm);pitlevel1 (bbl);pitlevel2 (bbl);pitlevel3 (bbl);pitlevel4 (bbl);pitlevel5 (bbl);pitlevel6 (bbl);pitlevel7 (bbl);totalpitlevel (bbl);RPMAnalog;BlockPosition;RPMTotal;H2S (ppm)
1;00:00;818,06;817,5;64;4;;67;1,66;250,57;1947;0;52;0;83;;;6;147,27;50,15;25,28;10;222,7;10;10;58;0
2;00:01;818,54;818,5;62;6;;388;3,14;250,09;1989;0;53;0;83;;;6;147,27;66,37;25,28;11,19;238,92;10;10;58;0
3;00:02;819,39;818,5;59;9;;544;3,14;250,57;2082;0;55;0;83;;;6;94,2;66,37;32,14;11,19;192,71;10;10;58;0
4;00:03;820,11;819,5;59;8;;524;1,52;248,64;2075;0;52;0;83;;;6;95,26;58,38;32,14;10,64;185,78;10;10;58;0
5;00:04;820,65;820,5;62;6;;517;1,54;250,57;2041;0;53;0;83;;;6;95,26;55,39;8,62;10,64;159,27;10;10;58;0
6;00:05;820,89;820,5;66;1;;108;1,55;250,1;1937;0;55;0;83;;;6;78,16;72,07;37,66;10;187,89;13,89;10;59;0
7;00:06;821,15;820,5;66;3;;108;1,55;250,57;1922;0;55;0;83;;;6;114,06;58,48;14,02;10;186,56;10;10;59;0
8;00:07;821,77;821,5;59;10;;801;2,76;251,54;2099;0;54;0;84;;;6;114,06;58,48;14,02;10;186,56;10;10;59;0
9;00:08;822,53;822,5;56;13;;1082;2,32;249,6;2138;0;53;0;83;;;6;78,55;61,06;13,69;12,41;153,3;10;10;59;0
10;00:09;823,06;822,5;59;8;;789;1,44;252,04;2114;0;52;0;84;;;6;94,7;67,44;41,41;26,02;203,55;10;10;59;0
11;00:10;823,7;823,5;58;9;;907;1,64;248,64;2095;0;53;0;83;;;6;133,98;67,44;41,41;26,02;242,83;10;10;59;0
12;00:11;824,35;823,5;58;8;;866;1,74;251,54;2112;0;55;0;84;;;6;133,98;64,65;27,42;22,9;226,05;10;10;59;0
13;00:12;825,01;824,5;59;8;;717;1,43;250,09;2104;0;56;0;83;;;6;116,8;47,79;28,41;10;193;10;10;59;0
14;00:13;825,57;825,5;60;8;;636;1,5;249,61;2072;0;54;0;83;;;6;143,26;76,64;6,53;10,31;226,43;10;10;59;0
15;00:14;825,57;824,5;49;0;;13;0,5;147,94;1336;0;55;0;49;;;6;143,26;76,64;3,44;25,61;223,34;10;10;59;0
16;00:15;825,57;824,5;25;0;;489;0;0;0;0;56;0;0;;;6;90,08;73,1;8,72;25,61;171,9;10;10;59;0
17;00:16;825,57;824,5;24;0;;0;0;0;0;0;53;0;0;;;6;107,35;68,21;39,2;14,88;214,76;10;10;54;0
18;00:17;825,57;824,5;24;0;;0;0;0;0;0;56;0;0;;;6;107,44;68,21;39,2;10;214,85;10;10;50;0
19;00:18;825,57;824,5;24;0;;0;0;0;0;0;55;0;0;;;6;107,44;41,42;8,18;10;157,04;10;10;46;0
20;00:19;825,57;824,5;24;0;;0;0;0;0;0;54;0;0;;;6;93,16;54,99;16,31;10;164,46;10;10;43;0
21;00:20;825,57;824,5;22;0;;396;0;0;0;0;0;0;0;;;6;90,12;66;16,81;10;172,93;10;10;42;0
