line;timestmp;depth (m);bitdepth (m);hook_load (klb);wob (klb);rpm;torque;rop ;flowin (gal/stk);spp (psi);ChockePressure (psi);flowout (%);SPM1 (spm);SPM2 (spm);pitlevel1 (bbl);pitlevel2 (bbl);pitlevel3 (bbl);;pitlevel4 (bbl);pitlevel5 (bbl);pitlevel6 (bbl);pitlevel7 (bbl);totalpitlevel (bbl);RPMAnalog;BlockPosition;RPMTotal;H2S (ppm)
0;00:00;381,84;381,84;59,51;11,18;2002,49;1,52;558,9;1395;0;;96;75;0;5;0;61;;18;15;15;23;94;97,5;0,7;103,1;0
1;00:01;382,63;382,63;61,07;12,35;2137,07;1,7;556,7;1400;0;;95;76;0;5;0;51;;32;17;37;16;100;97,6;0,6;103,1;0
2;00:02;383,42;383,42;60,64;6,84;2299,19;1,4;556,7;1408;0;;95;76;0;5;0;46;;14;13;18;10;73;97,5;0,6;103,1;0
3;00:03;384,51;384,51;62,37;7,32;2379,25;0,93;552,4;1415;0;;95;75;0;5;0;51;;50;15;9;16;116;97,5;0,7;103,2;0
4;00:04;385,59;385,59;62,41;6,88;2269,46;0,95;550,3;1412;0;;93;76;0;5;0;49;;14;14;16;13;77;97,5;0,6;103,1;0
5;00:05;386,64;386,64;62,3;7,31;2252,01;0,96;552,4;1412;0;;95;75;0;5;0;39;;33;14;18;16;86;97,5;0,7;103,1;0
6;00:06;387,66;387,66;62,19;9,05;2218,72;1;556,7;1412;0;;95;76;0;5;0;46;;21;13;16;15;80;97,5;0,7;103,2;0
7;00:07;388,65;388,65;61,74;8,6;2165,4;1,02;550,3;1412;0;;93;76;0;5;0;46;;21;13;16;15;80;97,6;0,6;103,2;0
8;00:08;389,6;389,6;61,26;8,69;2258,45;1,07;546;1413;0;;93;75;0;5;0;52;;23;15;17;10;90;97,4;0,7;103,1;0
9;00:09;389,65;389,03;67,11;0;332,51;0,76;561,1;1335;0;;95;78;0;5;0;44;;13;14;14;14;71;97,3;0,7;103,3;0
10;00:10;389,65;388,12;68,41;0;2,43;0;563,2;1324;0;;96;76;0;5;0;36;;18;12;14;17;66;97,5;0,7;103,2;0
11;00:11;389,65;383,47;68,8;0;54,3;0;567,5;1320;0;;96;78;0;5;0;36;;17;11;16;15;64;97,5;0,6;103,1;0
12;00:12;389,65;388,96;68,5;0;10,51;0;574;1322;0;;98;78;0;5;0;52;;14;11;20;16;77;97,4;0,6;103,1;0
13;00:13;389,65;388,96;68,86;0;0,39;0;567,5;1318;0;;96;78;0;5;0;58;;39;11;16;20;108;97,4;0,7;103,1;0
14;00:14;389,65;388,96;68,88;0;29,15;0;561,1;1317;0;;95;78;0;5;0;58;;39;11;16;20;108;97,6;0,7;103,2;0
15;00:15;389,65;385,13;68,97;0;5,75;0;569,7;1314;0;;98;76;0;5;0;46;;0;16;12;17;62;97,7;0,6;103,2;0
16;00:16;389,65;377,04;56,22;0;0;0;0;242;0;;0;0;0;5;0;62;;42;17;20;19;121;97,2;0,6;103,1;0
17;00:17;389,65;377,04;10,68;0;46,44;0;0;0;0;;0;0;0;5;0;45;;18;15;14;15;78;94,6;0,7;103,1;0
18;00:18;389,65;377,04;12,1;0;0;0;0;0;0;;0;0;0;5;0;73;;8;17;17;19;98;92,9;0,7;103,2;0
19;00:19;389,65;377,04;12,03;0;0;0;0;0;0;;0;0;0;5;0;48;;0;18;12;18;66;92,2;0,7;103,1;0
20;00:20;389,65;377,46;26,86;0;0;0;129,2;0;0;;35;0;0;5;0;46;;43;15;18;18;104;91,8;0,7;103,1;0
21;00:21;389,65;388,28;70,85;0;0;0;457,8;710;0;;63;82;0;5;0;46;;43;15;18;18;104;92;0,6;103,1;0
22;00:22;389,65;388,53;70,41;0;65,87;0;567,5;1069;0;;96;78;0;5;0;54;;0;15;18;16;69;94,3;0,7;103,2;0
23;00:23;389,85;389,85;69,58;5,65;63,38;0,06;567,5;1303;0;;96;78;0;5;0;32;;76;11;51;14;119;96,3;0,7;103,2;0
24;00:24;390,44;390,44;64,08;8,04;1492,99;1,73;550,3;1360;0;;93;76;0;5;0;58;;21;15;19;16;94;97,5;0,7;103,2;0
25;00:25;391,42;391,42;61,34;9,39;2436,03;1,04;546;1406;0;;93;75;0;5;0;65;;44;15;14;98;124;97,6;0,7;103,2;0
26;00:26;392,51;392,51;62,55;7,51;2274,12;0,94;550,3;1400;0;;93;76;0;5;0;70;;19;16;16;22;105;97,6;0,7;103,1;0
27;00:27;393,55;393,55;63,38;7,06;2134,28;0,97;550,3;1395;0;;93;76;0;5;0;70;;19;16;16;22;105;97,5;0,7;103,2;0
